date,open,high,close,low
2018/1/25,761,776,768.88,751
2018/1/24,776.44,776.46,764.88,758.6
2018/1/23,777.81,780,773.8,768.6
2018/1/22,751.81,774,773.87,751.81
2018/1/19,752.9,758.9,750.32,739.02
2018/1/18,747.93,765,751.02,744.09
2018/1/17,770,774,747.71,738.51
2018/1/16,780.48,788.61,773.5,768
2018/1/15,793.46,799.06,785.45,779.02
2018/1/12,773.77,788.8,788.21,767.02
2018/1/11,787,788,774.96,772
2018/1/10,785,788.88,785.6,773.48
2018/1/9,752.21,783,782,752.21
2018/1/8,735.02,756.5,752.02,735.02
2018/1/5,741,746.03,738.5,728.22
2018/1/4,721.4,743.5,737.02,719.33
2018/1/3,701.5,721.4,715.7,699.74
2018/1/2,700,710.16,704,689.89
2017/12/29,718,726.5,696.51,691.6
2017/12/28,687,719.9,718.58,671.32
2017/12/27,684.86,684.86,664.29,662.5
2017/12/26,688.18,692.99,680.6,676.5
2017/12/25,686,696.3,688.1,683.72
2017/12/22,680,685.9,682.98,677.01
2017/12/21,683,687.42,681.9,675.5
2017/12/20,669.9,686.86,684.98,664.03
2017/12/19,663,672.44,667.3,661
2017/12/18,660,669.8,665.88,658.58
2017/12/15,664,667.95,653.6,650.78
2017/12/14,669.98,671.3,664.68,660.5
2017/12/13,654.99,670,668.2,650.72
2017/12/12,658.7,658.77,651.18,651.02
2017/12/11,631,651.95,651,631
2017/12/8,615.42,628.85,627.16,615.42
2017/12/7,624.95,624.99,616.69,615.26
2017/12/6,631.5,644.1,625.35,620
2017/12/5,634,647.4,632.95,630.13
2017/12/4,623.95,644.1,637.95,616.72
2017/12/1,638.01,638.99,622.68,620.13
2017/11/30,635.51,648.48,631,626
2017/11/29,649.94,651.97,638.2,634.01
2017/11/28,625.06,648.88,648.21,624
2017/11/27,634,636.33,622.03,613.01
2017/11/24,635.9,642.5,630,622.23
2017/11/23,642,646,633.49,630.22
2017/11/22,677,688,650.87,650
2017/11/21,669,688.8,677,662.02
2017/11/20,676.8,685.6,679.27,660
2017/11/17,696,709,690.2,677.77
2017/11/16,686.01,719.96,718.8,686.01
2017/11/15,678.75,689.99,687.98,674
2017/11/14,687.14,687.22,678.87,677.35
2017/11/13,680,692.78,687.89,675.8
2017/11/10,650.43,683.4,678,650.43
2017/11/9,648,654.15,650.3,644.61
2017/11/8,642.33,654.5,650.38,642.33
2017/11/7,650.58,657.15,642.07,638.18
2017/11/6,641.5,657.62,653.06,640.2
2017/11/3,628.65,643.44,639.17,628.65
2017/11/2,626.95,629.78,626.92,621
2017/11/1,620.88,631.54,623.01,619.22
2017/10/31,622.01,627.6,618.03,611.88
2017/10/30,643.05,644,622.08,621
2017/10/27,602.11,655,649.63,600.03
2017/10/26,605,613,605.09,591.91
2017/10/25,569.75,571.68,565.67,562.06
2017/10/24,572,573.8,567.33,563.61
2017/10/23,574.92,580.5,573.41,568
2017/10/20,581,581,574.33,571.76
2017/10/19,561,585.15,582.6,560.72
2017/10/18,554.2,562.59,560.72,554.2
2017/10/17,560.97,560.97,556.73,554
2017/10/16,559.99,566.66,560.69,555.87
2017/10/13,545,556.6,556.15,542.01
2017/10/12,545,547.5,544.09,540.18
2017/10/11,538.1,551.25,545.54,538.1
2017/10/10,527.05,540.49,540.06,527.01
2017/10/9,524.54,535.55,527.77,520.1
2017/9/29,516,525.88,517.64,515.5
2017/9/28,507.2,520.2,518.46,507.15
2017/9/27,508.92,511.03,508.21,506.07
2017/9/26,506.69,510,509.29,503.6
2017/9/25,500.31,508.2,507.24,500.3
